codigo;chegada;start;espera;finish;Tempo de ciclo<BR>estimado;cor;Situação texto;Situação codigo;máquina;
1792;2022-05-20 16:00:20,24007;2022-05-24 15:08:30,735836;3 days 23:08:10,495766;2022-05-24 19:38:17,844766;04:29:47,10893;7CFF78;Atendido;2;2
1816;2022-05-24 10:58:20,912981;2022-05-24 10:59:58,484976;00:01:37.571995;2022-05-24 11:12:04,381445;00:12:05.896469;7CFF78;Atendido;2;3
1815;2022-05-23 18:52:09,475104;2022-05-24 08:23:07,507624;13:30:58,03252;2022-05-24 09:06:57,472554;00:43:49.96493;7CFF78;Atendido;2;2
1813;2022-05-23 15:54:59,088933;2022-05-23 17:28:09,453461;01:33:10,364528;2022-05-23 19:03:10,431925;01:35:00,978464;7CFF78;Atendido;2;2
1811;2022-05-23 14:52:10,551861;2022-05-23 15:08:09,464692;00:15:58.912831;2022-05-23 15:39:58,767047;00:31:49.302355;7CFF78;Atendido;2;2
1810;2022-05-23 13:28:42,171691;2022-05-23 14:55:40,348802;01:26:58,177111;2022-05-23 15:07:26,426194;00:11:46.077392;FF7D7D;Cancelado / Não atendido;5;2
1809;2022-05-23 13:12:42,019892;2022-05-23 14:55:53,921717;01:43:11,901825;2022-05-23 15:06:34,203313;00:10:40.281596;7CFF78;Atendido;2;2
1808;2022-05-23 13:10:11,675155;2022-05-23 13:11:40,936016;00:01:29.260861;2022-05-23 13:13:50,303588;00:02:09.367572;FF7D7D;Cancelado / Não atendido;5;2
1807;2022-05-23 13:05:21,986804;2022-05-23 13:10:29,269801;00:05:07.282997;2022-05-23 13:10:59,983449;00:00:30.713648;FF7D7D;Cancelado / Não atendido;5;2
1806;2022-05-23 09:52:38,219413;2022-05-23 09:52:54,826394;00:00:16.606981;2022-05-23 10:36:25,962635;00:43:31.136241;FF7D7D;Cancelado / Não atendido;5;2
1805;2022-05-23 08:53:33,327498;2022-05-23 09:14:25,588895;00:20:52.261397;2022-05-23 10:36:04,008143;01:21:38,419248;7CFF78;Atendido;2;2
1803;2022-05-23 07:58:05,882192;2022-05-23 08:42:40,09332;00:44:34.211128;2022-05-23 09:39:48,468515;00:57:08.375195;7CFF78;Atendido;2;2
1802;2022-05-23 07:56:18,128332;2022-05-23 07:58:19,391962;00:02:01.26363;2022-05-23 09:01:56,838217;01:03:37,446255;7CFF78;Atendido;2;2
1801;2022-05-23 07:41:23,169798;2022-05-23 07:59:58,627865;00:18:35.458067;2022-05-23 09:01:45,436128;01:01:46,808263;7CFF78;Atendido;2;2
1799;2022-05-22 23:32:01,12919;2022-05-23 07:44:33,438396;08:12:32,309206;2022-05-23 08:14:41,464268;00:30:08.025872;7CFF78;Atendido;2;2
1795;2022-05-20 18:21:44,247429;2022-05-20 19:25:45,300648;01:04:01,053219;2022-05-20 21:23:31,00815;01:57:45,707502;7CFF78;Atendido;2;2
1783;2022-05-18 22:03:47,948591;2022-05-20 18:12:42,60378;1 day 20:08:54,655189;2022-05-20 20:58:35,390815;02:45:52,787035;7CFF78;Atendido;2;2
1784;2022-05-18 22:11:22,017466;2022-05-20 18:12:43,651405;1 day 20:01:21,633939;2022-05-20 20:58:30,761448;02:45:47,110043;7CFF78;Atendido;2;2
1790;2022-05-19 20:07:04,482369;2022-05-20 14:17:47,125842;18:10:42,643473;2022-05-20 15:39:27,361129;01:21:40,235287;7CFF78;Atendido;2;2
1791;2022-05-19 22:46:23,053438;2022-05-20 09:23:21,528242;10:36:58,474804;2022-05-20 10:43:55,088387;01:20:33,560145;7CFF78;Atendido;2;2
1789;2022-05-19 16:27:26,04777;2022-05-20 08:17:51,38902;15:50:25,34125;2022-05-20 10:22:41,699489;02:04:50,310469;7CFF78;Atendido;2;2
1788;2022-05-19 16:24:42,313437;2022-05-19 16:25:00,195638;00:00:17.882201;2022-05-20 08:06:20,644521;15:41:20,448883;FF7D7D;Cancelado / Não atendido;5;2
1787;2022-05-19 16:17:26,768288;2022-05-19 16:19:35,340487;00:02:08.572199;2022-05-19 16:24:51,776605;00:05:16.436118;FF7D7D;Cancelado / Não atendido;5;2
